lapisan,eksperimen,item,mean,std,n,sign,vonis,catatan
L1 UAV,demonstrator,mAP50,0.758,,1.0,,,"YOLO11n, 1 lipatan, 15 epoch"
L1 UAV,demonstrator,PR-AUC kesehatan,0.182,0.059,3.0,,,block-CV 3 ortho; acak=0.013
L1 UAV,demonstrator,ROC-AUC kesehatan,0.861,,3.0,,,
L1 UAV,demonstrator,PR-AUC is_unbalance,0.181,0.091,3.0,,,d=0.001 -> DITOLAK
L2 Eg9PP,ablasi fitur h=1,"AP(+2hop) - AP(v1), view=true",-0.00228,0.00686,40.0,16/40,INCONCLUSIVE,20 seed x 2 lipatan | varian +2hop
L2 Eg9PP,ablasi fitur h=1,"AP(+umur) - AP(v1), view=true",-0.0043,0.00637,40.0,8/40,INCONCLUSIVE,20 seed x 2 lipatan | varian +umur
L2 Eg9PP,ablasi fitur h=2,"AP(+2hop) - AP(v1), view=true",-0.00705,0.00746,40.0,8/40,INCONCLUSIVE,20 seed x 2 lipatan | varian +2hop
L2 Eg9PP,ablasi fitur h=2,"AP(+umur) - AP(v1), view=true",-0.00703,0.00867,40.0,6/40,INCONCLUSIVE,20 seed x 2 lipatan | varian +umur
L2 Eg9PP,ablasi fitur h=3,"AP(+2hop) - AP(v1), view=true",-0.00864,0.00864,40.0,4/40,NEG,20 seed x 2 lipatan | varian +2hop
L2 Eg9PP,ablasi fitur h=3,"AP(+umur) - AP(v1), view=true",-0.00802,0.01024,40.0,6/40,INCONCLUSIVE,20 seed x 2 lipatan | varian +umur
L2 Eg9PP,ablasi fitur h=4,"AP(+2hop) - AP(v1), view=true",-0.00985,0.00792,40.0,3/40,NEG,20 seed x 2 lipatan | varian +2hop
L2 Eg9PP,ablasi fitur h=4,"AP(+umur) - AP(v1), view=true",-0.00791,0.00855,40.0,5/40,INCONCLUSIVE,20 seed x 2 lipatan | varian +umur
L2 Eg9PP,dekomposisi+tangga h=1,STRUKTUR vs local r<=3  (paling ketat),0.00346,0.00327,40.0,35/40,POS,20 seed x 2 lipatan
L2 Eg9PP,dekomposisi+tangga h=1,STRUKTUR vs local r<=6,0.00452,0.00347,40.0,36/40,POS,20 seed x 2 lipatan
L2 Eg9PP,dekomposisi+tangga h=1,STRUKTUR vs random GLOBAL,0.0044,0.00464,40.0,30/40,INCONCLUSIVE,20 seed x 2 lipatan
L2 Eg9PP,dekomposisi+tangga h=1,prevalensi (random-nograph),0.00255,0.00349,40.0,32/40,INCONCLUSIVE,20 seed x 2 lipatan
L2 Eg9PP,dekomposisi+tangga h=1,temporal (nograph-MLP),0.00442,0.00555,40.0,34/40,INCONCLUSIVE,20 seed x 2 lipatan
L2 Eg9PP,dekomposisi+tangga h=1,total STGNN-MLP,0.01136,0.00687,40.0,38/40,POS,20 seed x 2 lipatan
