"ID";"PROGENY";"GA_PARENT";"GB_PARENT";"PARCEL";"PLOT";"X_POSITION";"Y_POSITION";"EVENT_T1S";"Y_T1S";"EVENT_TD";"Y_TD"
"D1L3_1";"D1L3";"D1";"L3";"44A";68;9;3.5;1;25.5;0;25.5
"D1L3_2";"D1L3";"D1";"L3";"44A";68;9;4.5;1;7.5;1;8.5
"D1L3_3";"D1L3";"D1";"L3";"44A";68;9;5.5;1;8;1;8.5
"D1Y1_1";"D1Y1";"D1";"Y1";"44A";72;9;6.5;1;18;1;22
"D1Y1_2";"D1Y1";"D1";"Y1";"44A";72;9;7.5;1;9.5;1;13.5
"D1Y1_3";"D1Y1";"D1";"Y1";"44A";72;9;8.5;0;25.5;0;25.5
"D3L1_1";"D3L1";"D3";"L1";"44A";76;9;9.5;1;14.5;1;17
"D3L1_2";"D3L1";"D3";"L1";"44A";76;9;10.5;0;25.5;0;25.5
"D3L1_3";"D3L1";"D3";"L1";"44A";76;9;11.5;1;23.5;0;25.5
"D3L2_1";"D3L2";"D3";"L2";"44A";80;9;12.5;1;15.5;1;24
"D3L2_2";"D3L2";"D3";"L2";"44A";80;9;13.5;1;25.5;0;25.5
"D3L2_3";"D3L2";"D3";"L2";"44A";80;9;14.5;1;13.5;1;14.5
"D1L3_4";"D1L3";"D1";"L3";"44A";68;10;3;1;8.5;1;9.5
"D1L3_5";"D1L3";"D1";"L3";"44A";68;10;4;1;25.5;0;25.5
"D1L3_6";"D1L3";"D1";"L3";"44A";68;10;5;1;25.5;0;25.5
"D1Y1_4";"D1Y1";"D1";"Y1";"44A";72;10;6;1;15;1;19
"D1Y1_5";"D1Y1";"D1";"Y1";"44A";72;10;7;1;23.5;0;25.5
"D1Y1_6";"D1Y1";"D1";"Y1";"44A";72;10;8;1;24;0;25.5
"D3L1_4";"D3L1";"D3";"L1";"44A";76;10;9;1;20.5;1;23
"D3L1_5";"D3L1";"D3";"L1";"44A";76;10;10;1;25.5;0;25.5
"D3L1_6";"D3L1";"D3";"L1";"44A";76;10;11;1;23;0;25.5
"D3L2_4";"D3L2";"D3";"L2";"44A";80;10;12;1;19.5;1;24
