crown_id,ortho,gx,gy,label,n_views,best_margin_px,tile,tile_path,bx,by,bw,bh,split_fold
44000_16000_00000,44000_16000,2249.5,66.0,Healthy,1,59.0,44000_16000_2134_7_jpg.rf.4b6fb343d7124fc7337dc99a935fe6d6.jpg,layer1_build\ds_B\train\44000_16000_2134_7_jpg.rf.4b6fb343d7124fc7337dc99a935fe6d6.jpg,78,21,75,76,44000_16000
44000_16000_00001,44000_16000,998.5,112.5,Healthy,2,54.5,44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,layer1_build\ds_B\train\44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,395,17,75,75,44000_16000
44000_16000_00002,44000_16000,1377.0,115.0,Healthy,1,57.0,44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,layer1_build\ds_B\train\44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,761,7,100,100,44000_16000
44000_16000_00003,44000_16000,1181.0,116.0,Healthy,2,58.0,44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,layer1_build\ds_B\train\44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,565,8,100,100,44000_16000
44000_16000_00004,44000_16000,2155.5,123.0,Healthy,1,69.0,44000_16000_1622_54_jpg.rf.dac02f0f0f52d4f204fee49cba98f079.jpg,layer1_build\ds_B\valid\44000_16000_1622_54_jpg.rf.dac02f0f0f52d4f204fee49cba98f079.jpg,490,25,87,88,44000_16000
44000_16000_00005,44000_16000,1767.0,126.5,Healthy,4,72.5,44000_16000_1622_54_jpg.rf.dac02f0f0f52d4f204fee49cba98f079.jpg,layer1_build\ds_B\valid\44000_16000_1622_54_jpg.rf.dac02f0f0f52d4f204fee49cba98f079.jpg,120,47,50,51,44000_16000
44000_16000_00006,44000_16000,1950.0,130.5,Healthy,1,76.5,44000_16000_1622_54_jpg.rf.dac02f0f0f52d4f204fee49cba98f079.jpg,layer1_build\ds_B\valid\44000_16000_1622_54_jpg.rf.dac02f0f0f52d4f204fee49cba98f079.jpg,278,26,100,101,44000_16000
44000_16000_00007,44000_16000,476.5,139.0,Healthy,1,61.0,44000_16000_143_78_jpg.rf.59c9dffa54d6e8688f688d3ddb337e9d.jpg,layer1_build\ds_B\train\44000_16000_143_78_jpg.rf.59c9dffa54d6e8688f688d3ddb337e9d.jpg,290,17,87,88,44000_16000
44000_16000_00008,44000_16000,282.0,145.0,Healthy,3,67.0,44000_16000_143_78_jpg.rf.59c9dffa54d6e8688f688d3ddb337e9d.jpg,layer1_build\ds_B\train\44000_16000_143_78_jpg.rf.59c9dffa54d6e8688f688d3ddb337e9d.jpg,114,42,50,50,44000_16000
44000_16000_00009,44000_16000,895.0,159.5,Healthy,5,101.5,44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,layer1_build\ds_B\train\44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,285,57,88,89,44000_16000
44000_16000_00010,44000_16000,705.5,166.5,Healthy,3,108.5,44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,layer1_build\ds_B\train\44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,83,52,113,113,44000_16000
44000_16000_00011,44000_16000,1088.0,170.5,Healthy,7,112.5,44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,layer1_build\ds_B\train\44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,472,62,100,101,44000_16000
44000_16000_00012,44000_16000,1280.0,174.0,Healthy,8,116.0,44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,layer1_build\ds_B\train\44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,664,66,100,100,44000_16000
44000_16000_00013,44000_16000,1856.0,175.5,Healthy,6,121.5,44000_16000_1622_54_jpg.rf.dac02f0f0f52d4f204fee49cba98f079.jpg,layer1_build\ds_B\valid\44000_16000_1622_54_jpg.rf.dac02f0f0f52d4f204fee49cba98f079.jpg,184,71,100,101,44000_16000
44000_16000_00014,44000_16000,1470.0,181.0,Healthy,8,120.0,44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,layer1_build\ds_B\train\44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,848,66,112,114,44000_16000
44000_16000_00015,44000_16000,2251.5,186.0,Healthy,3,132.0,44000_16000_1622_54_jpg.rf.dac02f0f0f52d4f204fee49cba98f079.jpg,layer1_build\ds_B\valid\44000_16000_1622_54_jpg.rf.dac02f0f0f52d4f204fee49cba98f079.jpg,592,94,75,76,44000_16000
44000_16000_00016,44000_16000,2050.0,187.5,Healthy,4,133.5,44000_16000_1622_54_jpg.rf.dac02f0f0f52d4f204fee49cba98f079.jpg,layer1_build\ds_B\valid\44000_16000_1622_54_jpg.rf.dac02f0f0f52d4f204fee49cba98f079.jpg,378,83,100,101,44000_16000
44000_16000_00017,44000_16000,572.0,207.0,Healthy,3,129.0,44000_16000_143_78_jpg.rf.59c9dffa54d6e8688f688d3ddb337e9d.jpg,layer1_build\ds_B\train\44000_16000_143_78_jpg.rf.59c9dffa54d6e8688f688d3ddb337e9d.jpg,379,79,100,100,44000_16000
44000_16000_00018,44000_16000,402.0,215.0,Healthy,3,137.0,44000_16000_143_78_jpg.rf.59c9dffa54d6e8688f688d3ddb337e9d.jpg,layer1_build\ds_B\train\44000_16000_143_78_jpg.rf.59c9dffa54d6e8688f688d3ddb337e9d.jpg,203,80,112,114,44000_16000
44000_16000_00019,44000_16000,993.5,218.0,Healthy,10,160.0,44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,layer1_build\ds_B\train\44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,384,116,87,88,44000_16000
44000_16000_00020,44000_16000,799.5,221.5,Healthy,6,163.5,44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,layer1_build\ds_B\train\44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,177,107,113,113,44000_16000
44000_16000_00021,44000_16000,1588.0,224.5,Healthy,6,159.5,44000_16000_883_65_jpg.rf.2240217934d6f8cf31b217408b323a13.jpg,layer1_build\ds_B\train\44000_16000_883_65_jpg.rf.2240217934d6f8cf31b217408b323a13.jpg,649,103,112,113,44000_16000
44000_16000_00022,44000_16000,1184.0,227.5,Healthy,10,169.5,44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,layer1_build\ds_B\train\44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,568,119,100,101,44000_16000
44000_16000_00023,44000_16000,1378.5,232.0,Healthy,11,174.0,44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,layer1_build\ds_B\train\44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,769,130,87,88,44000_16000
44000_16000_00024,44000_16000,2150.5,238.0,Healthy,4,184.0,44000_16000_1622_54_jpg.rf.dac02f0f0f52d4f204fee49cba98f079.jpg,layer1_build\ds_B\valid\44000_16000_1622_54_jpg.rf.dac02f0f0f52d4f204fee49cba98f079.jpg,485,140,87,88,44000_16000
44000_16000_00025,44000_16000,1949.0,242.5,Healthy,6,188.5,44000_16000_1622_54_jpg.rf.dac02f0f0f52d4f204fee49cba98f079.jpg,layer1_build\ds_B\valid\44000_16000_1622_54_jpg.rf.dac02f0f0f52d4f204fee49cba98f079.jpg,277,138,100,101,44000_16000
44000_16000_00026,44000_16000,472.0,254.0,Healthy,3,176.0,44000_16000_143_78_jpg.rf.59c9dffa54d6e8688f688d3ddb337e9d.jpg,layer1_build\ds_B\train\44000_16000_143_78_jpg.rf.59c9dffa54d6e8688f688d3ddb337e9d.jpg,285,132,88,88,44000_16000
44000_16000_00027,44000_16000,1762.5,265.0,Healthy,13,178.0,44000_16000_1013_87_jpg.rf.c98991ecc4845010e6202c466dd2f019.jpg,layer1_build\ds_B\train\44000_16000_1013_87_jpg.rf.c98991ecc4845010e6202c466dd2f019.jpg,731,159,37,38,44000_16000
44000_16000_00028,44000_16000,286.0,271.0,Healthy,3,146.0,44000_16000_140_111_jpg.rf.f2d160671d18c935f62df41d83f57617.jpg,layer1_build\ds_B\train\44000_16000_140_111_jpg.rf.f2d160671d18c935f62df41d83f57617.jpg,121,135,50,50,44000_16000
44000_16000_00029,44000_16000,704.5,279.5,Healthy,7,201.5,44000_16000_143_78_jpg.rf.59c9dffa54d6e8688f688d3ddb337e9d.jpg,layer1_build\ds_B\train\44000_16000_143_78_jpg.rf.59c9dffa54d6e8688f688d3ddb337e9d.jpg,505,145,113,113,44000_16000
44000_16000_00030,44000_16000,1088.0,282.5,Healthy,16,224.5,44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,layer1_build\ds_B\train\44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,472,174,100,101,44000_16000
44000_16000_00031,44000_16000,1283.0,282.5,Healthy,14,224.5,44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,layer1_build\ds_B\train\44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,667,174,100,101,44000_16000
44000_16000_00032,44000_16000,894.0,289.5,Healthy,11,231.5,44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,layer1_build\ds_B\train\44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,278,181,100,101,44000_16000
