ortho,ox,oy,tile,tile_path
44000_16000,2134,7,44000_16000_2134_7_jpg.rf.4b6fb343d7124fc7337dc99a935fe6d6.jpg,layer1_build\ds_B\train\44000_16000_2134_7_jpg.rf.4b6fb343d7124fc7337dc99a935fe6d6.jpg
44000_16000,566,58,44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg,layer1_build\ds_B\train\44000_16000_566_58_jpg.rf.a5b3f7509819ee4166396fdba38fa35d.jpg
44000_16000,3174,421,44000_16000_3174_421_jpg.rf.4db2a084ff3a4ed7d6a71b444bb6d424.jpg,layer1_build\ds_B\train\44000_16000_3174_421_jpg.rf.4db2a084ff3a4ed7d6a71b444bb6d424.jpg
44000_16000,1734,1053,44000_16000_1734_1053_jpg.rf.2b570311a362dbac76a9f37869435400.jpg,layer1_build\ds_B\train\44000_16000_1734_1053_jpg.rf.2b570311a362dbac76a9f37869435400.jpg
44000_16000,74,1098,44000_16000_74_1098_jpg.rf.e4f7efd1c236f9fbc5157538af1ea009.jpg,layer1_build\ds_B\train\44000_16000_74_1098_jpg.rf.e4f7efd1c236f9fbc5157538af1ea009.jpg
44000_16000,3079,1498,44000_16000_3079_1498_jpg.rf.e9096ed3e6dabe52aa023b752f9fa89e.jpg,layer1_build\ds_B\train\44000_16000_3079_1498_jpg.rf.e9096ed3e6dabe52aa023b752f9fa89e.jpg
44000_16000,1502,2086,44000_16000_1502_2086_jpg.rf.8cc77b56a17290e33156509f6965652d.jpg,layer1_build\ds_B\train\44000_16000_1502_2086_jpg.rf.8cc77b56a17290e33156509f6965652d.jpg
44000_16000,202,2122,44000_16000_202_2122_jpg.rf.278beb728b147687184598c0e8a4f1b5.jpg,layer1_build\ds_B\test\44000_16000_202_2122_jpg.rf.278beb728b147687184598c0e8a4f1b5.jpg
44000_16000,2977,2624,44000_16000_2977_2624_jpg.rf.9f64dd34228a9119bfc31e103ad31421.jpg,layer1_build\ds_B\train\44000_16000_2977_2624_jpg.rf.9f64dd34228a9119bfc31e103ad31421.jpg
44000_16000,1332,3116,44000_16000_1332_3116_jpg.rf.b347df160fbf110b530c88a2b9f7175b.jpg,layer1_build\ds_B\train\44000_16000_1332_3116_jpg.rf.b347df160fbf110b530c88a2b9f7175b.jpg
44000_16000,42,3186,44000_16000_42_3186_jpg.rf.a805780a5955a8845e6e7f8c828de8e4.jpg,layer1_build\ds_B\valid\44000_16000_42_3186_jpg.rf.a805780a5955a8845e6e7f8c828de8e4.jpg
44000_16000,3758,3651,44000_16000_3758_3651_jpg.rf.7f75b55c9348ba33834559c972e257c2.jpg,layer1_build\ds_B\train\44000_16000_3758_3651_jpg.rf.7f75b55c9348ba33834559c972e257c2.jpg
44000_16000,2533,3742,44000_16000_2533_3742_jpg.rf.00caf43a575f4c64e1bb645f0495412b.jpg,layer1_build\ds_B\train\44000_16000_2533_3742_jpg.rf.00caf43a575f4c64e1bb645f0495412b.jpg
44000_4000,1795,5,44000_4000_1795_5_jpg.rf.6b58b2367c374aceed3345ec430f91a3.jpg,layer1_build\ds_B\train\44000_4000_1795_5_jpg.rf.6b58b2367c374aceed3345ec430f91a3.jpg
44000_4000,517,18,44000_4000_517_18_jpg.rf.91bbfdcc6cebf532c16d815a0049950b.jpg,layer1_build\ds_B\train\44000_4000_517_18_jpg.rf.91bbfdcc6cebf532c16d815a0049950b.jpg
44000_4000,3830,26,44000_4000_3830_26_jpg.rf.874a513fbd9fc433834e03684372ae19.jpg,layer1_build\ds_B\train\44000_4000_3830_26_jpg.rf.874a513fbd9fc433834e03684372ae19.jpg
44000_4000,1849,1043,44000_4000_1849_1043_jpg.rf.2534424a27f9661a7045fcb691052342.jpg,layer1_build\ds_B\train\44000_4000_1849_1043_jpg.rf.2534424a27f9661a7045fcb691052342.jpg
44000_4000,3264,1052,44000_4000_3264_1052_jpg.rf.9b4c96cf80d792e48d2f07efe11c41b9.jpg,layer1_build\ds_B\valid\44000_4000_3264_1052_jpg.rf.9b4c96cf80d792e48d2f07efe11c41b9.jpg
44000_4000,294,1097,44000_4000_294_1097_jpg.rf.bff440b13e82d113c534d15a03ed81bb.jpg,layer1_build\ds_B\train\44000_4000_294_1097_jpg.rf.bff440b13e82d113c534d15a03ed81bb.jpg
44000_4000,1902,2076,44000_4000_1902_2076_jpg.rf.d529869524af42f9b60a8108b89d544b.jpg,layer1_build\ds_B\valid\44000_4000_1902_2076_jpg.rf.d529869524af42f9b60a8108b89d544b.jpg
44000_4000,2942,2078,44000_4000_2942_2078_jpg.rf.f9317b3396be2b0d1a9a22eb9dd66427.jpg,layer1_build\ds_B\train\44000_4000_2942_2078_jpg.rf.f9317b3396be2b0d1a9a22eb9dd66427.jpg
44000_4000,416,2122,44000_4000_416_2122_jpg.rf.92a04bda06a371ed4f97129f73473f57.jpg,layer1_build\ds_B\train\44000_4000_416_2122_jpg.rf.92a04bda06a371ed4f97129f73473f57.jpg
44000_4000,3972,2551,44000_4000_3972_2551_jpg.rf.05028409c97dd605536856b693b004ce.jpg,layer1_build\ds_B\train\44000_4000_3972_2551_jpg.rf.05028409c97dd605536856b693b004ce.jpg
44000_4000,1625,3120,44000_4000_1625_3120_jpg.rf.0d978bbd8dd12534004eab85f11087f0.jpg,layer1_build\ds_B\train\44000_4000_1625_3120_jpg.rf.0d978bbd8dd12534004eab85f11087f0.jpg
44000_4000,2754,3145,44000_4000_2754_3145_jpg.rf.84796d9617cae9f980441ac26f8bc761.jpg,layer1_build\ds_B\valid\44000_4000_2754_3145_jpg.rf.84796d9617cae9f980441ac26f8bc761.jpg
44000_4000,137,3159,44000_4000_137_3159_jpg.rf.f2a23d9ea186a14e5ec52702753cfffd.jpg,layer1_build\ds_B\train\44000_4000_137_3159_jpg.rf.f2a23d9ea186a14e5ec52702753cfffd.jpg
44000_4000,3816,3756,44000_4000_3816_3756_jpg.rf.4db8e1ab9b5f01b17cb470a38e72b672.jpg,layer1_build\ds_B\train\44000_4000_3816_3756_jpg.rf.4db8e1ab9b5f01b17cb470a38e72b672.jpg
52000_20000,2840,4,52000_20000_2840_4_jpg.rf.c38401ac99ef4a779ff5e36fc934a3a9.jpg,layer1_build\ds_B\train\52000_20000_2840_4_jpg.rf.c38401ac99ef4a779ff5e36fc934a3a9.jpg
52000_20000,392,16,52000_20000_392_16_jpg.rf.fd0945da51df0a5b2724afa35f85b624.jpg,layer1_build\ds_B\train\52000_20000_392_16_jpg.rf.fd0945da51df0a5b2724afa35f85b624.jpg
52000_20000,1477,30,52000_20000_1477_30_jpg.rf.8797c4f0c9aaf81be5012812189e0e1f.jpg,layer1_build\ds_B\train\52000_20000_1477_30_jpg.rf.8797c4f0c9aaf81be5012812189e0e1f.jpg
52000_20000,3959,327,52000_20000_3959_327_jpg.rf.01111b52d63298821985010b48f21a7f.jpg,layer1_build\ds_B\train\52000_20000_3959_327_jpg.rf.01111b52d63298821985010b48f21a7f.jpg
52000_20000,2773,1031,52000_20000_2773_1031_jpg.rf.15aff96b57cc50026f54cacbb3aa60ea.jpg,layer1_build\ds_B\test\52000_20000_2773_1031_jpg.rf.15aff96b57cc50026f54cacbb3aa60ea.jpg
52000_20000,515,1056,52000_20000_515_1056_jpg.rf.ea1faf9c3c1076cac15ebc87b4c7183c.jpg,layer1_build\ds_B\train\52000_20000_515_1056_jpg.rf.ea1faf9c3c1076cac15ebc87b4c7183c.jpg
52000_20000,1632,1106,52000_20000_1632_1106_jpg.rf.2b5fd5c5fac95cb9781c5da231235bdc.jpg,layer1_build\ds_B\train\52000_20000_1632_1106_jpg.rf.2b5fd5c5fac95cb9781c5da231235bdc.jpg
52000_20000,3920,1512,52000_20000_3920_1512_jpg.rf.35f38ac08130c059e4043117713f4c27.jpg,layer1_build\ds_B\train\52000_20000_3920_1512_jpg.rf.35f38ac08130c059e4043117713f4c27.jpg
52000_20000,285,2091,52000_20000_285_2091_jpg.rf.dc0c200d46cdf5823912655b3d41f9a9.jpg,layer1_build\ds_B\train\52000_20000_285_2091_jpg.rf.dc0c200d46cdf5823912655b3d41f9a9.jpg
52000_20000,2674,2102,52000_20000_2674_2102_jpg.rf.9b822d3c5e83a0b346a10d107e42e50c.jpg,layer1_build\ds_B\test\52000_20000_2674_2102_jpg.rf.9b822d3c5e83a0b346a10d107e42e50c.jpg
52000_20000,1433,2183,52000_20000_1433_2183_jpg.rf.2130e876d76073c642a2d4c2ec264610.jpg,layer1_build\ds_B\train\52000_20000_1433_2183_jpg.rf.2130e876d76073c642a2d4c2ec264610.jpg
52000_20000,3762,2617,52000_20000_3762_2617_jpg.rf.9ac32e793038d5a83910529bbd7c4125.jpg,layer1_build\ds_B\train\52000_20000_3762_2617_jpg.rf.9ac32e793038d5a83910529bbd7c4125.jpg
52000_20000,2501,3145,52000_20000_2501_3145_jpg.rf.09be8aed1ebc2225d48f3f5783a77370.jpg,layer1_build\ds_B\valid\52000_20000_2501_3145_jpg.rf.09be8aed1ebc2225d48f3f5783a77370.jpg
52000_20000,339,3168,52000_20000_339_3168_jpg.rf.481f93963c657bd185a8638110a58c0d.jpg,layer1_build\ds_B\train\52000_20000_339_3168_jpg.rf.481f93963c657bd185a8638110a58c0d.jpg
52000_20000,1412,3315,52000_20000_1412_3315_jpg.rf.36f0949cfc5318fbb82e5b3b9ca6cee2.jpg,layer1_build\ds_B\train\52000_20000_1412_3315_jpg.rf.36f0949cfc5318fbb82e5b3b9ca6cee2.jpg
52000_20000,3542,3711,52000_20000_3542_3711_jpg.rf.f18bb0ef9323ae0d21bf25df17d53bf9.jpg,layer1_build\ds_B\valid\52000_20000_3542_3711_jpg.rf.f18bb0ef9323ae0d21bf25df17d53bf9.jpg
