palm_id,progeny,ga_parent,gb_parent,parcel,plot,xm,ym,event_t1s,y_t1s,event_td,y_td,fold
D1L3_1,D1L3,D1,L3,44A,68,7.794228634059948,3.5,1,25.5,0,25.5,44A
D1L3_2,D1L3,D1,L3,44A,68,7.794228634059948,4.5,1,7.5,1,8.5,44A
D1L3_3,D1L3,D1,L3,44A,68,7.794228634059948,5.5,1,8.0,1,8.5,44A
D1Y1_1,D1Y1,D1,Y1,44A,72,7.794228634059948,6.5,1,18.0,1,22.0,44A
D1Y1_2,D1Y1,D1,Y1,44A,72,7.794228634059948,7.5,1,9.5,1,13.5,44A
D1Y1_3,D1Y1,D1,Y1,44A,72,7.794228634059948,8.5,0,25.5,0,25.5,44A
D3L1_1,D3L1,D3,L1,44A,76,7.794228634059948,9.5,1,14.5,1,17.0,44A
D3L1_2,D3L1,D3,L1,44A,76,7.794228634059948,10.5,0,25.5,0,25.5,44A
D3L1_3,D3L1,D3,L1,44A,76,7.794228634059948,11.5,1,23.5,0,25.5,44A
D3L2_1,D3L2,D3,L2,44A,80,7.794228634059948,12.5,1,15.5,1,24.0,44A
D3L2_2,D3L2,D3,L2,44A,80,7.794228634059948,13.5,1,25.5,0,25.5,44A
D3L2_3,D3L2,D3,L2,44A,80,7.794228634059948,14.5,1,13.5,1,14.5,44A
D1L3_4,D1L3,D1,L3,44A,68,8.660254037844387,3.0,1,8.5,1,9.5,44A
D1L3_5,D1L3,D1,L3,44A,68,8.660254037844387,4.0,1,25.5,0,25.5,44A
D1L3_6,D1L3,D1,L3,44A,68,8.660254037844387,5.0,1,25.5,0,25.5,44A
D1Y1_4,D1Y1,D1,Y1,44A,72,8.660254037844387,6.0,1,15.0,1,19.0,44A
D1Y1_5,D1Y1,D1,Y1,44A,72,8.660254037844387,7.0,1,23.5,0,25.5,44A
D1Y1_6,D1Y1,D1,Y1,44A,72,8.660254037844387,8.0,1,24.0,0,25.5,44A
D3L1_4,D3L1,D3,L1,44A,76,8.660254037844387,9.0,1,20.5,1,23.0,44A
D3L1_5,D3L1,D3,L1,44A,76,8.660254037844387,10.0,1,25.5,0,25.5,44A
D3L1_6,D3L1,D3,L1,44A,76,8.660254037844387,11.0,1,23.0,0,25.5,44A
D3L2_4,D3L2,D3,L2,44A,80,8.660254037844387,12.0,1,19.5,1,24.0,44A
D3L2_5,D3L2,D3,L2,44A,80,8.660254037844387,13.0,1,25.5,0,25.5,44A
D3L2_6,D3L2,D3,L2,44A,80,8.660254037844387,14.0,1,17.0,1,21.0,44A
D1L3_7,D1L3,D1,L3,44A,68,9.526279441628827,3.5,1,24.5,0,25.5,44A
D1L3_8,D1L3,D1,L3,44A,68,9.526279441628827,4.5,1,12.5,1,18.0,44A
D1L3_9,D1L3,D1,L3,44A,68,9.526279441628827,5.5,0,25.5,0,25.5,44A
D1Y1_7,D1Y1,D1,Y1,44A,72,9.526279441628827,6.5,1,19.5,1,24.0,44A
D1Y1_8,D1Y1,D1,Y1,44A,72,9.526279441628827,7.5,1,24.0,0,25.5,44A
D1Y1_9,D1Y1,D1,Y1,44A,72,9.526279441628827,8.5,1,8.0,1,11.5,44A
D3L1_7,D3L1,D3,L1,44A,76,9.526279441628827,9.5,1,17.0,1,21.0,44A
D3L1_8,D3L1,D3,L1,44A,76,9.526279441628827,10.5,1,24.5,0,25.5,44A
D3L1_9,D3L1,D3,L1,44A,76,9.526279441628827,11.5,1,24.5,0,25.5,44A
D3L2_7,D3L2,D3,L2,44A,80,9.526279441628827,12.5,1,2.5,1,7.5,44A
D3L2_8,D3L2,D3,L2,44A,80,9.526279441628827,13.5,1,14.0,1,14.5,44A
D3L2_9,D3L2,D3,L2,44A,80,9.526279441628827,14.5,0,25.5,0,25.5,44A
D1L3_10,D1L3,D1,L3,44A,68,10.392304845413264,3.0,1,12.0,1,22.5,44A
D1L3_11,D1L3,D1,L3,44A,68,10.392304845413264,4.0,1,24.5,0,25.5,44A
D1L3_12,D1L3,D1,L3,44A,68,10.392304845413264,5.0,1,24.5,0,25.5,44A
D1Y1_10,D1Y1,D1,Y1,44A,72,10.392304845413264,6.0,1,24.5,0,25.5,44A
D1Y1_11,D1Y1,D1,Y1,44A,72,10.392304845413264,7.0,1,21.5,0,25.5,44A
D1Y1_12,D1Y1,D1,Y1,44A,72,10.392304845413264,8.0,1,23.5,0,25.5,44A
D3L1_10,D3L1,D3,L1,44A,76,10.392304845413264,9.0,0,25.5,0,25.5,44A
D3L1_11,D3L1,D3,L1,44A,76,10.392304845413264,10.0,1,24.5,0,25.5,44A
D3L1_12,D3L1,D3,L1,44A,76,10.392304845413264,11.0,1,23.0,0,25.5,44A
D3L2_10,D3L2,D3,L2,44A,80,10.392304845413264,12.0,0,23.0,0,23.0,44A
D3L2_11,D3L2,D3,L2,44A,80,10.392304845413264,13.0,1,9.5,1,10.5,44A
D3L2_12,D3L2,D3,L2,44A,80,10.392304845413264,14.0,1,19.5,1,23.0,44A
D1L3_13,D1L3,D1,L3,44A,68,11.258330249197703,3.5,0,25.5,0,25.5,44A
D1L3_14,D1L3,D1,L3,44A,68,11.258330249197703,4.5,0,25.5,0,25.5,44A
D1L3_15,D1L3,D1,L3,44A,68,11.258330249197703,5.5,0,25.5,0,25.5,44A
D1Y1_13,D1Y1,D1,Y1,44A,72,11.258330249197703,6.5,1,21.0,1,24.0,44A
D1Y1_14,D1Y1,D1,Y1,44A,72,11.258330249197703,7.5,1,22.5,1,25.0,44A
D1Y1_15,D1Y1,D1,Y1,44A,72,11.258330249197703,8.5,1,21.0,1,24.0,44A
D3L1_13,D3L1,D3,L1,44A,76,11.258330249197703,9.5,1,23.0,0,25.5,44A
D3L1_14,D3L1,D3,L1,44A,76,11.258330249197703,10.5,1,25.0,0,25.5,44A
D3L1_15,D3L1,D3,L1,44A,76,11.258330249197703,11.5,1,25.0,0,25.5,44A
D3L2_13,D3L2,D3,L2,44A,80,11.258330249197703,12.5,0,25.5,0,25.5,44A
D3L2_14,D3L2,D3,L2,44A,80,11.258330249197703,13.5,1,22.5,1,25.5,44A
D3L2_15,D3L2,D3,L2,44A,80,11.258330249197703,14.5,1,25.5,0,25.5,44A
D3L3_1,D3L3,D3,L3,44A,67,12.124355652982143,3.0,1,12.0,1,14.0,44A
D3L3_2,D3L3,D3,L3,44A,67,12.124355652982143,4.0,0,25.5,0,25.5,44A
D3L3_3,D3L3,D3,L3,44A,67,12.124355652982143,5.0,0,25.5,0,25.5,44A
