palm_id,t,status,at_risk,deg,n_nb_obs,n_nb_sympt,n_nb_dead,prev_global
D1L3_1,0.5,A,1,3,3,0,0,0.0008333333333333334
D1L3_2,0.5,A,1,4,4,0,0,0.0008333333333333334
D1L3_3,0.5,A,1,4,4,0,0,0.0008333333333333334
D1Y1_1,0.5,A,1,4,4,0,0,0.0008333333333333334
D1Y1_2,0.5,A,1,4,4,0,0,0.0008333333333333334
D1Y1_3,0.5,A,1,4,4,0,0,0.0008333333333333334
D3L1_1,0.5,A,1,4,4,0,0,0.0008333333333333334
D3L1_2,0.5,A,1,4,4,0,0,0.0008333333333333334
D3L1_3,0.5,A,1,4,4,0,0,0.0008333333333333334
D3L2_1,0.5,A,1,4,4,0,0,0.0008333333333333334
D3L2_2,0.5,A,1,4,4,0,0,0.0008333333333333334
D3L2_3,0.5,A,1,2,2,0,0,0.0008333333333333334
D1L3_4,0.5,A,1,3,3,0,0,0.0008333333333333334
D1L3_5,0.5,A,1,6,6,0,0,0.0008333333333333334
D1L3_6,0.5,A,1,6,6,0,0,0.0008333333333333334
D1Y1_4,0.5,A,1,6,6,0,0,0.0008333333333333334
D1Y1_5,0.5,A,1,6,6,0,0,0.0008333333333333334
D1Y1_6,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L1_4,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L1_5,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L1_6,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L2_4,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L2_5,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L2_6,0.5,A,1,5,5,0,0,0.0008333333333333334
D1L3_7,0.5,A,1,5,5,0,0,0.0008333333333333334
D1L3_8,0.5,A,1,6,6,0,0,0.0008333333333333334
D1L3_9,0.5,A,1,6,6,0,0,0.0008333333333333334
D1Y1_7,0.5,A,1,6,6,0,0,0.0008333333333333334
D1Y1_8,0.5,A,1,6,6,0,0,0.0008333333333333334
D1Y1_9,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L1_7,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L1_8,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L1_9,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L2_7,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L2_8,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L2_9,0.5,A,1,3,3,0,0,0.0008333333333333334
D1L3_10,0.5,A,1,3,3,0,0,0.0008333333333333334
D1L3_11,0.5,A,1,6,6,0,0,0.0008333333333333334
D1L3_12,0.5,A,1,6,6,0,0,0.0008333333333333334
D1Y1_10,0.5,A,1,6,6,0,0,0.0008333333333333334
D1Y1_11,0.5,A,1,6,6,0,0,0.0008333333333333334
D1Y1_12,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L1_10,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L1_11,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L1_12,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L2_10,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L2_11,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L2_12,0.5,A,1,5,5,0,0,0.0008333333333333334
D1L3_13,0.5,A,1,5,5,0,0,0.0008333333333333334
D1L3_14,0.5,A,1,6,6,0,0,0.0008333333333333334
D1L3_15,0.5,A,1,6,6,0,0,0.0008333333333333334
D1Y1_13,0.5,A,1,6,6,0,0,0.0008333333333333334
D1Y1_14,0.5,A,1,6,6,0,0,0.0008333333333333334
D1Y1_15,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L1_13,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L1_14,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L1_15,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L2_13,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L2_14,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L2_15,0.5,A,1,3,3,0,0,0.0008333333333333334
D3L3_1,0.5,A,1,3,3,0,0,0.0008333333333333334
D3L3_2,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L3_3,0.5,A,1,6,6,0,0,0.0008333333333333334
D4L1_1,0.5,A,1,6,6,0,0,0.0008333333333333334
D4L1_2,0.5,A,1,6,6,0,0,0.0008333333333333334
D4L1_3,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_1,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_2,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_3,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L2_1,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L2_2,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L2_3,0.5,A,1,5,5,0,0,0.0008333333333333334
D3L3_4,0.5,A,1,5,5,0,0,0.0008333333333333334
D3L3_5,0.5,A,1,6,6,0,0,0.0008333333333333334
D3L3_6,0.5,A,1,6,6,0,0,0.0008333333333333334
D4L1_4,0.5,A,1,6,6,0,0,0.0008333333333333334
D4L1_5,0.5,A,1,6,6,0,0,0.0008333333333333334
D4L1_6,0.5,A,1,6,6,0,0,0.0008333333333333334
D2L1_4,0.5,A,1,6,6,0,0,0.0008333333333333334
