epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0167,1.56328,2.90094,1.97441,0.00428,0.97581,0.40312,0.18424,1.28236,3.34155,2.02322,0.00035007,0.00035007,0.00035007
2,25.5167,1.26596,2.28071,1.65221,0.38395,0.36858,0.25059,0.13886,1.56061,3.169,2.61453,0.000693155,0.000693155,0.000693155
3,32.7442,1.29636,1.86924,1.67308,0.39923,0.45182,0.38563,0.19384,1.7506,3.01869,3.29513,0.00101204,0.00101204,0.00101204
4,39.6821,1.26995,1.69955,1.62144,0.32194,0.48343,0.34089,0.17816,1.6857,3.82059,3.25399,0.00130671,0.00130671,0.00130671
5,46.5138,1.23241,1.61644,1.60264,0.62628,0.74127,0.68952,0.39012,1.41243,2.32636,2.78003,0.00144696,0.00144696,0.00144696
6,53.473,1.25167,1.51365,1.58912,0.57473,0.59724,0.59399,0.33327,1.44091,2.54751,2.34715,0.00139195,0.00139195,0.00139195
7,61.143,1.20135,1.43274,1.5724,0.71668,0.58922,0.64487,0.42758,1.12609,1.9617,1.78966,0.00133693,0.00133693,0.00133693
8,68.5995,1.11776,1.28853,1.49856,0.66668,0.6244,0.62928,0.34283,1.5155,2.29438,2.40535,0.00128192,0.00128192,0.00128192
9,75.9749,1.17535,1.31703,1.53613,0.80192,0.73919,0.82526,0.52981,1.15574,1.99045,1.80316,0.00122691,0.00122691,0.00122691
10,83.5931,1.10428,1.20649,1.45768,0.78825,0.74777,0.81539,0.55368,1.16412,1.43934,1.83796,0.0011719,0.0011719,0.0011719
11,90.5383,1.08959,1.18994,1.45622,0.72289,0.75444,0.81671,0.53693,1.27004,1.55765,1.87956,0.00111689,0.00111689,0.00111689
12,97.6222,1.08644,1.14391,1.45389,0.57451,0.78708,0.73247,0.47774,1.20172,1.65591,1.71343,0.00106188,0.00106188,0.00106188
13,104.73,1.03757,1.07373,1.44109,0.68398,0.87232,0.87008,0.57924,1.19098,1.26118,1.79078,0.00100687,0.00100687,0.00100687
14,112.088,1.02039,1.0039,1.3716,0.67036,0.81915,0.86483,0.5972,1.05179,1.20814,1.62847,0.000951857,0.000951857,0.000951857
15,119.308,1.02933,1.00181,1.40636,0.76186,0.80283,0.86298,0.61617,1.07363,1.11059,1.66332,0.000896846,0.000896846,0.000896846
16,126.48,0.97786,0.98857,1.36607,0.84602,0.72865,0.88069,0.62191,1.06016,1.11794,1.58118,0.000841835,0.000841835,0.000841835
17,133.464,1.00403,0.96225,1.35341,0.91746,0.8447,0.92931,0.67677,1.00334,0.9097,1.51791,0.000786824,0.000786824,0.000786824
18,140.519,0.93779,0.93151,1.34043,0.85588,0.83974,0.91412,0.65452,1.03085,0.91897,1.5488,0.000731813,0.000731813,0.000731813
19,147.44,0.96242,0.92439,1.34051,0.83606,0.81033,0.89439,0.6437,0.99945,0.96224,1.50396,0.000676802,0.000676802,0.000676802
20,154.448,0.93819,0.93671,1.34561,0.83404,0.79679,0.8786,0.6282,1.01172,0.96989,1.5145,0.000621791,0.000621791,0.000621791
21,161.312,0.91873,1.16689,1.47328,0.84982,0.78811,0.89866,0.64894,1.01765,0.91625,1.56057,0.00056678,0.00056678,0.00056678
22,168.104,0.8748,0.90041,1.42495,0.74438,0.78096,0.85593,0.5999,0.99691,1.13976,1.50568,0.000511769,0.000511769,0.000511769
23,174.85,0.85853,0.86145,1.41122,0.84073,0.85106,0.93736,0.64158,1.06022,0.95295,1.59914,0.000456758,0.000456758,0.000456758
24,181.586,0.81832,0.78669,1.41049,0.89431,0.86485,0.94052,0.67806,0.99632,0.83619,1.49939,0.000401747,0.000401747,0.000401747
25,188.367,0.8019,0.76164,1.35784,0.89994,0.83751,0.93685,0.69308,0.94283,0.82816,1.46011,0.000346736,0.000346736,0.000346736
26,195.099,0.83037,0.76996,1.3802,0.82876,0.87906,0.91746,0.67168,1.01019,0.83591,1.54237,0.000291725,0.000291725,0.000291725
27,201.913,0.77624,0.72753,1.33656,0.88449,0.84853,0.94957,0.7026,0.94182,0.75027,1.47001,0.000236714,0.000236714,0.000236714
28,208.686,0.71903,0.67897,1.28585,0.8687,0.84815,0.93456,0.68983,0.92731,0.78999,1.46214,0.000181703,0.000181703,0.000181703
29,215.323,0.70358,0.6394,1.268,0.84822,0.83768,0.93232,0.69387,0.95303,0.7573,1.49177,0.000126692,0.000126692,0.000126692
30,222.019,0.68574,0.67428,1.28262,0.87242,0.85432,0.94282,0.70227,0.95287,0.74631,1.4885,7.1681e-05,7.1681e-05,7.1681e-05
