epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.2339,1.49264,2.29149,1.21338,0.96398,0.48333,0.48715,0.34531,1.13118,1.1764,0.96316,0.000549997,0.000549997,0.000549997
2,109.738,1.2372,0.81992,1.05849,0.97165,0.48141,0.49022,0.31585,1.14284,0.71572,1.02932,0.00106918,0.00106918,0.00106918
3,152.403,1.19342,0.66461,1.04918,0.98025,0.48555,0.49527,0.33456,1.12827,0.62469,1.06773,0.00155168,0.00155168,0.00155168
4,426.212,1.146,0.61901,1.02507,0.97969,0.48381,0.54078,0.36844,1.09255,0.55149,1.09843,0.00150197,0.00150197,0.00150197
5,479.099,1.10988,0.57734,1.02109,0.592,0.71537,0.59548,0.4065,1.04922,0.51557,1.04749,0.00144696,0.00144696,0.00144696
6,534.512,1.06037,0.53865,0.99817,0.62316,0.69778,0.62825,0.42438,1.07896,0.52111,1.07151,0.00139195,0.00139195,0.00139195
7,584.13,0.99529,0.50259,0.98088,0.63039,0.65807,0.59772,0.40129,1.10335,0.52295,1.10256,0.00133693,0.00133693,0.00133693
8,625.117,0.94974,0.48058,0.96682,0.67655,0.70022,0.70015,0.47036,1.14887,0.51775,1.1249,0.00128192,0.00128192,0.00128192
9,670.228,0.93282,0.46978,0.95894,0.70422,0.68199,0.66194,0.43271,1.16766,0.50417,1.13305,0.00122691,0.00122691,0.00122691
10,724.963,0.87316,0.44733,0.93999,0.67564,0.71459,0.69785,0.45962,1.10954,0.46908,1.14334,0.0011719,0.0011719,0.0011719
11,763.008,0.82809,0.42869,0.93164,0.68762,0.71008,0.68132,0.4394,1.20359,0.50802,1.22477,0.00111689,0.00111689,0.00111689
12,802.149,0.78405,0.41202,0.91655,0.69928,0.71401,0.66442,0.44909,1.12295,0.46573,1.16708,0.00106188,0.00106188,0.00106188
13,875.832,0.74781,0.39763,0.90479,0.6901,0.69668,0.6464,0.43996,1.13975,0.47132,1.19034,0.00100687,0.00100687,0.00100687
14,920.697,0.72801,0.39141,0.89829,0.66379,0.73077,0.65246,0.4435,1.0955,0.45858,1.15035,0.000951857,0.000951857,0.000951857
15,957.897,0.7005,0.3787,0.89071,0.68287,0.6493,0.64196,0.4349,1.12866,0.47199,1.18136,0.000896846,0.000896846,0.000896846
16,999.337,0.66206,0.36588,0.87964,0.69951,0.6723,0.65843,0.45167,1.11881,0.45345,1.19874,0.000841835,0.000841835,0.000841835
17,1040.09,0.64012,0.35514,0.87425,0.6909,0.67659,0.63028,0.4243,1.11959,0.4547,1.1877,0.000786824,0.000786824,0.000786824
18,1105.19,0.6364,0.3551,0.87254,0.67152,0.72097,0.67093,0.44962,1.17566,0.47181,1.22953,0.000731813,0.000731813,0.000731813
19,1171.75,0.6088,0.34667,0.86684,0.68727,0.64639,0.62009,0.4114,1.15995,0.46313,1.23179,0.000676802,0.000676802,0.000676802
20,1242.43,0.5992,0.33696,0.86193,0.67337,0.70614,0.65094,0.43589,1.13844,0.45221,1.18002,0.000621791,0.000621791,0.000621791
21,1278.58,0.55552,0.33088,0.85273,0.66384,0.68983,0.65414,0.43964,1.15816,0.45827,1.26256,0.00056678,0.00056678,0.00056678
22,1314.8,0.50516,0.30741,0.83976,0.73315,0.67973,0.68099,0.4636,1.12344,0.44237,1.24692,0.000511769,0.000511769,0.000511769
23,1351.11,0.48342,0.29743,0.83389,0.73327,0.68401,0.70135,0.4825,1.09641,0.43741,1.24185,0.000456758,0.000456758,0.000456758
24,1385.14,0.46637,0.28688,0.83045,0.69123,0.6769,0.68223,0.46571,1.11483,0.43819,1.24772,0.000401747,0.000401747,0.000401747
25,1419.07,0.44586,0.28095,0.82724,0.71543,0.68263,0.67037,0.44864,1.12778,0.44635,1.2514,0.000346736,0.000346736,0.000346736
26,1452.82,0.43476,0.27738,0.82434,0.76801,0.65149,0.6875,0.47184,1.11099,0.43929,1.25327,0.000291725,0.000291725,0.000291725
27,1486.76,0.41734,0.26787,0.81787,0.70975,0.68464,0.67592,0.46206,1.11551,0.44085,1.26123,0.000236714,0.000236714,0.000236714
28,1520.8,0.40355,0.26339,0.81754,0.71186,0.64955,0.65687,0.45049,1.11454,0.4346,1.27463,0.000181703,0.000181703,0.000181703
29,1554.71,0.39118,0.25601,0.81356,0.72941,0.6519,0.65631,0.44998,1.11168,0.44161,1.25906,0.000126692,0.000126692,0.000126692
30,1588.56,0.38088,0.25349,0.81218,0.68014,0.68238,0.6648,0.4509,1.11052,0.43995,1.26427,7.1681e-05,7.1681e-05,7.1681e-05
