part,dataset,fold,h,model,metric,mean,std,n,pos,verdict,strata,observed,null_mean,null_std,excess,z,n_ge,n_perm,note
AP,REAL,44A,3,posrate,no-skill AUCPR,0.047113630920648575,0.0,1,,,,,,,,,,,
AP,REAL,44A,3,MLP,AUCPR,0.16648955688424744,0.010740855684473206,20,,,,,,,,,,,
AP,REAL,44A,3,nograph,AUCPR,0.17216142005765464,0.005919632953719002,20,,,,,,,,,,,
AP,REAL,44A,3,random,AUCPR,0.16952098905881346,0.007837471832525852,20,,,,,,,,,,,
AP,REAL,44A,3,true,AUCPR,0.17789015949025413,0.008493147630572996,20,,,,,,,,,,,
AP,REAL,44A,3,SID,AUCPR,0.15953879337681967,0.014244159078970703,20,,,,,,,,,,,
AP,REAL,44B,3,posrate,no-skill AUCPR,0.04658365994691849,0.0,1,,,,,,,,,,,
AP,REAL,44B,3,MLP,AUCPR,0.15849254392959047,0.0037741504370901713,20,,,,,,,,,,,
AP,REAL,44B,3,nograph,AUCPR,0.1569415589334045,0.002276552902266468,20,,,,,,,,,,,
AP,REAL,44B,3,random,AUCPR,0.16375862422623566,0.0051364739955011415,20,,,,,,,,,,,
AP,REAL,44B,3,true,AUCPR,0.18562279294686107,0.003684669538074449,20,,,,,,,,,,,
AP,REAL,44B,3,SID,AUCPR,0.14534410436482365,0.011593455653740184,20,,,,,,,,,,,
DECOMP,REAL,pooled,3,temporal (nograph-MLP),pairedAUCPR,0.002060439088610614,0.009179290090283593,40,21,INCONCLUSIVE,,,,,,,,,
DECOMP,REAL,44A,3,temporal (nograph-MLP),pairedAUCPR,0.005671863173407235,0.011368002428873333,20,14,INCONCLUSIVE,,,,,,,,,
DECOMP,REAL,44B,3,temporal (nograph-MLP),pairedAUCPR,-0.001550984996186007,0.0036335225415275556,20,7,INCONCLUSIVE,,,,,,,,,
DECOMP,REAL,pooled,3,prevalence (random-nograph),pairedAUCPR,0.0020883171469950057,0.007865111097503562,40,25,INCONCLUSIVE,,,,,,,,,
DECOMP,REAL,44A,3,prevalence (random-nograph),pairedAUCPR,-0.002640430998841177,0.0076227681477976615,20,6,INCONCLUSIVE,,,,,,,,,
DECOMP,REAL,44B,3,prevalence (random-nograph),pairedAUCPR,0.006817065292831189,0.004570692820959477,20,19,POS,,,,,,,,,
DECOMP,REAL,pooled,3,STRUCTURE (true-random),pairedAUCPR,0.015116669576033026,0.008115379549416806,40,39,POS,,,,,,,,,
DECOMP,REAL,44A,3,STRUCTURE (true-random),pairedAUCPR,0.008369170431440672,0.004248383512588154,20,19,POS,,,,,,,,,
DECOMP,REAL,44B,3,STRUCTURE (true-random),pairedAUCPR,0.02186416872062538,0.004755262198828272,20,20,POS,,,,,,,,,
DECOMP,REAL,pooled,3,total graph (true-nograph),pairedAUCPR,0.017204986723028032,0.012554119264125996,40,36,POS,,,,,,,,,
DECOMP,REAL,44A,3,total graph (true-nograph),pairedAUCPR,0.0057287394325994945,0.006466547151585515,20,16,INCONCLUSIVE,,,,,,,,,
DECOMP,REAL,44B,3,total graph (true-nograph),pairedAUCPR,0.02868123401345657,0.0031602349896777413,20,20,POS,,,,,,,,,
DECOMP,REAL,pooled,3,total STGNN-MLP (true-MLP),pairedAUCPR,0.019265425811638644,0.013016042827425401,40,36,POS,,,,,,,,,
DECOMP,REAL,44A,3,total STGNN-MLP (true-MLP),pairedAUCPR,0.01140060260600673,0.013778004356571824,20,16,INCONCLUSIVE,,,,,,,,,
DECOMP,REAL,44B,3,total STGNN-MLP (true-MLP),pairedAUCPR,0.02713024901727056,0.005028961086480954,20,20,POS,,,,,,,,,
DECOMP,REAL,pooled,3,SI(D) head (SID-true) *NOT vs synth SEIR*,pairedAUCPR,-0.029315027347735972,0.018591167588399786,40,4,NEG,,,,,,,,,
DECOMP,REAL,44A,3,SI(D) head (SID-true) *NOT vs synth SEIR*,pairedAUCPR,-0.01835136611343451,0.016650610246160966,20,3,NEG,,,,,,,,,
DECOMP,REAL,44B,3,SI(D) head (SID-true) *NOT vs synth SEIR*,pairedAUCPR,-0.040278688582037446,0.013176360184410698,20,1,NEG,,,,,,,,,
AP,REAL,44A,1,posrate,no-skill AUCPR,0.016967879608273506,0.0,1,,,,,,,,,,,
AP,REAL,44A,1,MLP,AUCPR,0.061696926206985934,0.004023614875979828,4,,,,,,,,,,,
AP,REAL,44A,1,nograph,AUCPR,0.06823375094303916,0.004321225635019358,4,,,,,,,,,,,
AP,REAL,44A,1,random,AUCPR,0.0697950753208448,0.004736382912715121,4,,,,,,,,,,,
AP,REAL,44A,1,true,AUCPR,0.07390814374738977,0.006825720141615873,4,,,,,,,,,,,
AP,REAL,44A,1,SID,AUCPR,0.05776660007947977,0.0023105795399675794,4,,,,,,,,,,,
AP,REAL,44B,1,posrate,no-skill AUCPR,0.016051171347498894,0.0,1,,,,,,,,,,,
AP,REAL,44B,1,MLP,AUCPR,0.057812155520795105,0.0011179271348314914,4,,,,,,,,,,,
AP,REAL,44B,1,nograph,AUCPR,0.05862884986845636,0.0015904668003557487,4,,,,,,,,,,,
AP,REAL,44B,1,random,AUCPR,0.06230407104425993,0.0019666680207899886,4,,,,,,,,,,,
AP,REAL,44B,1,true,AUCPR,0.06792879651941344,0.0010773401999294714,4,,,,,,,,,,,
AP,REAL,44B,1,SID,AUCPR,0.061076064070358475,0.0038304791946024448,4,,,,,,,,,,,
DECOMP,REAL,pooled,1,temporal (nograph-MLP),pairedAUCPR,0.0036767595418572404,0.0031116826831216176,8,7,POS,,,,,,,,,
DECOMP,REAL,44A,1,temporal (nograph-MLP),pairedAUCPR,0.006536824736053227,0.001123770770687907,4,4,POS,,,,,,,,,
DECOMP,REAL,44B,1,temporal (nograph-MLP),pairedAUCPR,0.0008166943476612537,0.0013199741155502827,4,3,INCONCLUSIVE,,,,,,,,,
DECOMP,REAL,pooled,1,prevalence (random-nograph),pairedAUCPR,0.0026182727768046046,0.0023188723843459644,8,7,POS,,,,,,,,,
DECOMP,REAL,44A,1,prevalence (random-nograph),pairedAUCPR,0.001561324377805635,0.002839912506039897,4,3,INCONCLUSIVE,,,,,,,,,
DECOMP,REAL,44B,1,prevalence (random-nograph),pairedAUCPR,0.003675221175803574,0.000674503811338305,4,4,POS,,,,,,,,,
DECOMP,REAL,pooled,1,STRUCTURE (true-random),pairedAUCPR,0.004868896950849246,0.005194764350447951,8,7,INCONCLUSIVE,,,,,,,,,
DECOMP,REAL,44A,1,STRUCTURE (true-random),pairedAUCPR,0.004113068426544974,0.006892750451775281,4,3,INCONCLUSIVE,,,,,,,,,
