block,varian,h,komponen,mean,std,n,sign,vonis
FITUR,+2hop,1,STRUKTUR vs local r<=3,0.00419,0.00746,40,24/40,INCONCLUSIVE
FITUR,+2hop,1,total STGNN-MLP,0.00953,0.00409,40,39/40,POS
FITUR,+2hop,2,STRUKTUR vs local r<=3,0.0054,0.00885,40,29/40,INCONCLUSIVE
FITUR,+2hop,2,total STGNN-MLP,0.0109,0.00629,40,37/40,POS
FITUR,+2hop,3,STRUKTUR vs local r<=3,0.00886,0.01139,40,28/40,INCONCLUSIVE
FITUR,+2hop,3,total STGNN-MLP,0.01209,0.01308,40,30/40,INCONCLUSIVE
FITUR,+2hop,4,STRUKTUR vs local r<=3,0.00901,0.01183,40,31/40,INCONCLUSIVE
FITUR,+2hop,4,total STGNN-MLP,0.01065,0.01293,40,31/40,INCONCLUSIVE
FITUR,+umur,1,STRUKTUR vs local r<=3,0.00051,0.00455,40,19/40,INCONCLUSIVE
FITUR,+umur,1,total STGNN-MLP,0.00751,0.00377,40,38/40,POS
FITUR,+umur,2,STRUKTUR vs local r<=3,0.00346,0.00688,40,26/40,INCONCLUSIVE
FITUR,+umur,2,total STGNN-MLP,0.01092,0.00583,40,39/40,POS
FITUR,+umur,3,STRUKTUR vs local r<=3,0.00783,0.01046,40,31/40,INCONCLUSIVE
FITUR,+umur,3,total STGNN-MLP,0.01272,0.01149,40,35/40,POS
FITUR,+umur,4,STRUKTUR vs local r<=3,0.00961,0.00991,40,34/40,INCONCLUSIVE
FITUR,+umur,4,total STGNN-MLP,0.01258,0.0104,40,35/40,POS
FITUR,v1,1,STRUKTUR vs local r<=3,0.00346,0.00327,40,35/40,POS
FITUR,v1,1,total STGNN-MLP,0.01136,0.00687,40,38/40,POS
FITUR,v1,2,STRUKTUR vs local r<=3,0.0076,0.00472,40,38/40,POS
FITUR,v1,2,total STGNN-MLP,0.0161,0.01013,40,37/40,POS
FITUR,v1,3,STRUKTUR vs local r<=3,0.0128,0.00843,40,36/40,POS
FITUR,v1,3,total STGNN-MLP,0.01927,0.01302,40,36/40,POS
FITUR,v1,4,STRUKTUR vs local r<=3,0.01393,0.00935,40,39/40,POS
FITUR,v1,4,total STGNN-MLP,0.01949,0.01284,40,35/40,POS
FITUR_AP,+2hop,1,MLP,0.0583,0.00292,40,,
FITUR_AP,+2hop,1,rlocal3,0.06364,0.00721,40,,
FITUR_AP,+2hop,1,true,0.06783,0.00271,40,,
FITUR_AP,+2hop,2,MLP,0.10738,0.00472,40,,
FITUR_AP,+2hop,2,rlocal3,0.11287,0.00785,40,,
FITUR_AP,+2hop,2,true,0.11828,0.00334,40,,
FITUR_AP,+2hop,3,MLP,0.16102,0.0085,40,,
FITUR_AP,+2hop,3,rlocal3,0.16425,0.00676,40,,
FITUR_AP,+2hop,3,true,0.17311,0.0083,40,,
FITUR_AP,+2hop,4,MLP,0.1871,0.00712,40,,
FITUR_AP,+2hop,4,rlocal3,0.18874,0.00758,40,,
FITUR_AP,+2hop,4,true,0.19775,0.0132,40,,
FITUR_AP,+umur,1,MLP,0.0583,0.00292,40,,
FITUR_AP,+umur,1,rlocal3,0.06531,0.00512,40,,
FITUR_AP,+umur,1,true,0.06581,0.00338,40,,
FITUR_AP,+umur,2,MLP,0.10738,0.00472,40,,
FITUR_AP,+umur,2,rlocal3,0.11484,0.00652,40,,
FITUR_AP,+umur,2,true,0.1183,0.00422,40,,
FITUR_AP,+umur,3,MLP,0.16102,0.0085,40,,
FITUR_AP,+umur,3,rlocal3,0.16591,0.00788,40,,
FITUR_AP,+umur,3,true,0.17374,0.00692,40,,
FITUR_AP,+umur,4,MLP,0.1871,0.00712,40,,
FITUR_AP,+umur,4,rlocal3,0.19008,0.01015,40,,
FITUR_AP,+umur,4,true,0.19968,0.01076,40,,
FITUR_AP,v1,1,MLP,0.05875,0.00342,40,,
FITUR_AP,v1,1,rlocal3,0.06665,0.00529,40,,
FITUR_AP,v1,1,true,0.07011,0.00612,40,,
FITUR_AP,v1,2,MLP,0.10923,0.00718,40,,
FITUR_AP,v1,2,rlocal3,0.11773,0.00793,40,,
FITUR_AP,v1,2,true,0.12533,0.00689,40,,
FITUR_AP,v1,3,MLP,0.16249,0.00899,40,,
FITUR_AP,v1,3,rlocal3,0.16896,0.00789,40,,
FITUR_AP,v1,3,true,0.18176,0.0076,40,,
FITUR_AP,v1,4,MLP,0.18811,0.00763,40,,
FITUR_AP,v1,4,rlocal3,0.19367,0.00801,40,,
FITUR_AP,v1,4,true,0.2076,0.0113,40,,
FITUR_delta,+2hop,1,"AP(+2hop) - AP(v1), view=true",-0.00228,0.00686,40,16/40,INCONCLUSIVE
FITUR_delta,+2hop,2,"AP(+2hop) - AP(v1), view=true",-0.00705,0.00746,40,8/40,INCONCLUSIVE
