ap_pooled_mean,ap_pooled_std,ap_within_mean,ap_within_std,blok,h,mean,metrik,n,sign,std,varian,vonis
0.1817567340371085,0.007699972170891511,0.09729873775151776,0.010712869067780541,v3,3,,,40,,,penuh:true,
0.04684864515593623,0.00026836236586569865,0.06320123913265288,0.003079816171270796,v3,3,,,40,,,foto:nograph,
0.09743137415938807,0.007201773397432452,0.07190709939510313,0.006380665761021924,v3,3,,,40,,,foto:random,
0.12594259305363753,0.0008715506365990679,0.10149539613341382,0.007851732027688976,v3,3,,,40,,,foto:true,
,,,,v3-paired,3,0.05058272900345183,pooled,40,40,0.007101184884204094,graf apa pun  (foto: random - nograph),POS
,,,,v3-paired,3,0.008705860262450248,within,40,39,0.004742102143573543,graf apa pun  (foto: random - nograph),POS
,,,,v3-paired,3,0.028511218894249468,pooled,40,40,0.007122495340695851,PETA BENAR    (foto: true - random),POS
,,,,v3-paired,3,0.029588296738310683,within,40,40,0.005659434087528776,PETA BENAR    (foto: true - random),POS
,,,,v3-paired,3,-0.05581414098347097,pooled,40,0,0.007603335932495673,harga kepraktisan (foto:true - penuh:true),NEG
,,,,v3-paired,3,0.004196658381896053,within,40,36,0.00345003389808235,harga kepraktisan (foto:true - penuh:true),POS
