blok,mode,h,titik,recall,fpr,f1_tahap1,n,ap_mean,ap_std,lift,sinyal_bertahan,ap_clean,no_skill,titik_terukur
v3-noisy-sweep,operating,3,tau 0.15,0.7556047508609178,0.05587707044502095,0.256956795580749,200,0.08411228256408226,0.007502936305431535,1.3308905469000356,0.7356288672839665,0.09162776227813492,0.0632,0
v3-noisy-sweep,operating,3,tau 0.2,0.7556047508609178,0.04969068050289364,0.2782832062832063,200,0.08402335779897457,0.006826822619238558,1.3294835094774458,0.7325007714374606,0.09162776227813492,0.0632,0
v3-noisy-sweep,operating,3,tau 0.25,0.7556047508609178,0.04410297345839154,0.29926345433289947,200,0.08409475918168646,0.006507073215654355,1.3306132781912414,0.735012449353341,0.09162776227813492,0.0632,0
v3-noisy-sweep,operating,3,tau 0.3,0.735996907723663,0.038914388345639594,0.31680175616345835,200,0.08328644728063786,0.006787750800716651,1.317823532921485,0.7065785581050554,0.09162776227813492,0.0632,0
v3-noisy-sweep,operating,3,tau 0.35,0.703738843207534,0.03432448613051287,0.3242823284437461,200,0.08310984787481182,0.0075369789207148435,1.3150292385255034,0.7003663418884498,0.09162776227813492,0.0632,0
v3-noisy-sweep,operating,3,tau 0.4,0.692986155035491,0.03133107164238675,0.3371725383920506,200,0.08305896551547175,0.007512580294940753,1.314224137903034,0.6985764592081937,0.09162776227813492,0.0632,0
v3-noisy-sweep,operating,3,tau 0.45,0.6714807786914049,0.028537218120135703,0.34515437679994637,200,0.0832406868621133,0.007799401240685197,1.3170994756663497,0.7049688493254183,0.09162776227813492,0.0632,0
v3-noisy-sweep,operating,3,tau 0.5,0.6714807786914049,0.02474555976850928,0.37349927312697234,200,0.08276744136365895,0.007261167584858983,1.3096114139819452,0.6883215489215326,0.09162776227813492,0.0632,0
v3-noisy-sweep,operating,3,tau 0.55,0.6714807786914049,0.02115346238275793,0.403375887597674,200,0.08311816642530992,0.007568655850290623,1.315160861159967,0.700658962546267,0.09162776227813492,0.0632,0
v3-noisy-sweep,operating,3,tau 0.6,0.6129383653102819,0.017361804031131512,0.4086590038314177,200,0.08263862542352061,0.007319979348616654,1.3075731870810223,0.6837902059731146,0.09162776227813492,0.0632,0
v3-noisy-sweep,operating,3,tau 0.65,0.5621617822756343,0.014767511474755537,0.406216332686921,200,0.08084754172407753,0.0064354775785935405,1.279233255127809,0.6207854684943335,0.09162776227813492,0.0632,0
v3-noisy-sweep,operating,3,tau 0.7,0.4947642139292993,0.01157453602075434,0.40619582348305744,200,0.08036600431927673,0.006878640521105181,1.2716139923936192,0.6038464846907731,0.09162776227813492,0.0632,0
v3-noisy-sweep,operating,3,tau 0.75,0.4458851641014829,0.009179804430253442,0.40610356842484685,200,0.07774336633352984,0.0058139383853134195,1.230116555910282,0.5115902613522203,0.09162776227813492,0.0632,1
v3-noisy-sweep,operating,3,tau 0.8,0.4243797877573969,0.006984633805627619,0.42172739541160587,200,0.07912676046858501,0.006361587864706385,1.2520057036168513,0.5602537516938152,0.09162776227813492,0.0632,0
v3-noisy-sweep,operating,3,tau 0.85,0.38326656827605593,0.003991219317501496,0.4444444444444444,200,0.07807210132027477,0.006958605733616498,1.235318058865107,0.5231541327371227,0.09162776227813492,0.0632,0
