rank,palm_id,parcel,plot,progeny,xm,ym,in_risk_set,status,logit,risk_percentile,risk_decile,n_neighbours,n_sick_neighbours
1,D2L3_54,44B,21,D2L3,32.9090,30.0000,1,A,0.514005,100.00,10,6,4
2,D2L3_55,44B,21,D2L3,33.7750,28.5000,1,A,0.511103,99.85,10,6,4
3,D2L3_6,44A,73,D2L3,21.6506,11.5000,1,A,0.508691,99.70,10,6,5
4,D2L3_51,44B,21,D2L3,32.0429,30.5000,1,A,0.479587,99.55,10,6,5
5,D2L3_71,44B,14,D2L3,46.7654,23.0000,1,A,0.471832,99.40,10,6,4
6,D2L3_26,44A,51,D2L3,32.0429,4.5000,1,A,0.416173,99.25,10,6,4
7,D2L3_60,44B,21,D2L3,34.6410,30.0000,1,A,0.383236,99.11,10,6,3
8,D5L2_20,44A,59,D5L2,30.3109,10.5000,1,A,0.378221,98.96,10,6,4
9,D2L3_46,44B,21,D2L3,31.1769,28.0000,1,A,0.376939,98.81,10,6,4
10,D2L3_9,44A,73,D2L3,22.5167,11.0000,1,A,0.370267,98.66,10,6,3
11,D2L3_42,44A,35,D2L3,49.3634,5.5000,1,A,0.366942,98.51,10,6,4
12,D5L2_16,44A,59,D5L2,29.4449,9.0000,1,A,0.365177,98.36,10,6,5
13,D2L3_8,44A,73,D2L3,22.5167,10.0000,1,A,0.321161,98.21,10,6,3
14,D4L1_61,44B,9,D4L1,48.4974,25.0000,1,A,0.309427,98.06,10,6,4
15,D5L2_59,44B,29,D5L2,34.6410,23.0000,1,A,0.307347,97.91,10,6,4
16,D4L1_8,44A,71,D4L1,13.8564,7.0000,1,A,0.303070,97.76,10,6,4
17,D5L2_6,44A,65,D5L2,21.6506,5.5000,1,A,0.299542,97.62,10,6,3
18,D5L2_36,44A,33,D5L2,56.2917,5.5000,1,A,0.284177,97.47,10,6,3
19,D4L3_21,44A,53,D4L3,38.9711,8.5000,1,A,0.283484,97.32,10,6,5
20,D4L3_2,44A,77,D4L3,20.7846,13.0000,1,A,0.282116,97.17,10,6,4
21,D5L2_38,44A,33,D5L2,57.1577,4.0000,1,A,0.276814,97.02,10,6,4
22,D4L3_68,44B,3,D4L3,41.5692,32.0000,1,A,0.274894,96.87,10,6,4
23,D3L2_5,44A,80,D3L2,8.6603,13.0000,1,A,0.273813,96.72,10,6,5
24,D2L3_11,44A,73,D2L3,23.3827,10.5000,1,A,0.266742,96.57,10,6,2
25,D2L3_47,44B,21,D2L3,31.1769,29.0000,1,A,0.265341,96.42,10,6,3
26,D3L1_10,44A,76,D3L1,10.3923,9.0000,1,A,0.264348,96.27,10,6,5
27,D5L2_39,44A,33,D5L2,57.1577,5.0000,1,A,0.263916,96.13,10,6,3
28,D1Y1_48,44B,22,D1Y1,26.8468,30.5000,1,A,0.261853,95.98,10,6,5
29,D2L3_1,44A,73,D2L3,20.7846,9.0000,1,A,0.259672,95.83,10,6,3
30,D4L3_44,44A,34,D4L3,54.5596,4.5000,1,A,0.259079,95.68,10,6,5
31,D3L1_62,44B,1,D3L1,48.4974,32.0000,1,A,0.251145,95.53,10,6,4
32,D1L3_6,44A,68,D1L3,8.6603,5.0000,1,A,0.250152,95.38,10,6,4
33,D1L3_34,44A,40,D1L3,43.3013,6.0000,1,A,0.248319,95.23,10,6,5
34,D1L3_56,44B,17,D1L3,33.7750,32.5000,1,A,0.244695,95.08,10,6,5
